id,наименование,ссылка,"регулярная цена, руб.","промо цена, руб.",бренд
531397,"Сыр плавленый Карат шоколадный 30%, 230г",https://online.metro-cc.ru/products/karat-shokoladnyj-30-230-g-bzmzh,144,нет скидки,КАРАТ
120579,"Сыр плавленый Hochland Ассорти сливочный с беконом, 140г",https://online.metro-cc.ru/products/slivochnyj-hochland-assorti-s-bekonom-140g-bzmzh,125,94,HOCHLAND
359435,"Сыр President Брынза 45%, 250г",https://online.metro-cc.ru/products/president-48-250g-bzmzh,249,нет скидки,PRESIDENT
593496,"Сыр Киприно Тильзитер 50%, 250г",https://online.metro-cc.ru/products/tilziter-kiprino-250g-bzmzh,295,нет скидки,КИПРИНО
142646,"Сыр творожный Viola зелень-чеснок 66%, 150г",https://online.metro-cc.ru/products/150g-syr-tvorozhnyy-66-viola-zelenchesnok-bzmzh,119,нет скидки,VIOLA
96973,"Сыр President La Brique с белой плесенью мягкий 45%, 200г",https://online.metro-cc.ru/products/myagkij-president-s-beloj-la-brique-45-bzmzh-200-g,609,439,PRESIDENT
593831,"Сыр Le Superbe Emmentaler полутвердый 50%, 150г",https://online.metro-cc.ru/products/lustenberger-emmentaler-narezka-50-150-g-bzmzh,579,нет скидки,LE SUPERBE
220874,"Сыр плавленый President шоколадный 30%, 400г",https://online.metro-cc.ru/products/president-shokoladnyj-400-g-bzmzh,294,нет скидки,PRESIDENT
643745,"Сыр Kesidis Dairy Фета традиционная, 200г",https://online.metro-cc.ru/products/kesidis-dairy-v-u-200g-bzmzh,175,нет скидки,KESIDIS DAIRY
621694,"METRO Chef Сыр Чеддар 50%, ~2.5кг",https://online.metro-cc.ru/products/metro-chef-cheddar-50-25kg,988,нет скидки,METRO CHEF
226176,"Сыр Тысяча озёр Сливочный полутвердый 50%, 200г",https://online.metro-cc.ru/products/200g-syr-slivochnyy-50-tysyacha-ozyor-kusok-bzmzh,219,199,ТЫСЯЧА ОЗЁР
532870,"Сыр Cheese Gallery Лайт нарезка 20%, 150г",https://online.metro-cc.ru/products/cheese-gallery-light-narezka-20-150g-bzmzh,199,нет скидки,CHEESE GALLERY
87425,"Сыр Киприно Швейцарский Premium слайсы, 350г",https://online.metro-cc.ru/products/shvejcarskij-kiprino-premium-slajsy-350g-bzmzh,549,нет скидки,КИПРИНО
44359,"Сыр Jalo Kerma сливочный нарезка, 140г",https://online.metro-cc.ru/products/slivochnyj-jalo-kerma-140-g-v-narezke,179,нет скидки,JALO KERMA
94130,"METRO Chef Сыр Гойя твердый 40%, ~1кг",https://online.metro-cc.ru/products/art_94130,1 279,нет скидки,METRO CHEF
203769,"Сыр Viola голландский нарезка 45%, 270г",https://online.metro-cc.ru/products/270g-syr-45-viola-gollandskiy-narezka-bzmzh,349,нет скидки,VIOLA
226173,"Сыр Сиртаки Для Греческого Салата Сливочный рассольный 50%, 200г",https://online.metro-cc.ru/products/200g-syr-rassolnyy-50-sirtaki-slivochnyy-bzmzh,199,139,СИРТАКИ
212487,"Сыр Laime Маасдам нарезка 45%, 125г",https://online.metro-cc.ru/products/125g-syr-maasdam-45-laime-narezka-bzmzh,207,139,LAIME
213083,"Сыр Oldenburger тильзитер 50%, ~3кг",https://online.metro-cc.ru/products/3kg-syr-tilziter-50-oldenburger-bzmzh,729,нет скидки,OLDENBURGER
90979,"Сыр-мусс творожный President Прованс с прованскими травами, 120г",https://online.metro-cc.ru/products/president-travy-120g-bzmzh,129,99,PRESIDENT
